prenom,genre,signification,origine
SURI,f,form of SARAH.,[Yiddish]
SURIYA,m,SURIYA   m   TamilVariant transcription of SURYA.,[Tamil]
SUSAN,f,variant of SUSANNA. This has been most common spelling since the 18th century. A notable bearer was the American feminist Susan B. Anthony (1820-1906).,[English]
SUSANITA,f,SUSANITA   f   SpanishSpanish diminutive of SUSANNA.,[Spanish]
SUSANNA,f,"From Σουσαννα (Sousanna), the Greek form of the Hebrew name שׁוֹשַׁנָּה (Shoshannah). This was derived from the Hebrew word שׁוֹשָׁן (shoshan) meaning ""lily"" (in modern Hebrew this also means ""rose""), perhaps ultimately from Egyptian sšn ""lotus"". In the Old Testament Apocrypha this is the name of a woman falsely accused of adultery. The prophet Daniel clears her name by tricking her accusers, who end up being condemned themselves. It also occurs in the New Testament belonging to a woman who ministers to Jesus.... [more]","[Italian, Swedish, Finnish, Russian, Dutch, English, Biblical, Biblical Latin, Old Church Slavic]"
SUSANNE,f,form of SUSANNA.,"[German, Danish, Swedish, Norwegian]"
SUSHEELA,f,"SUSHEELA   f   Indian, HindiVariant transcription of SUSHILA.","[Indian, Hindi]"
SUSHILA,f,"Means ""good-tempered, well-disposed"", derived from the Sanskrit prefix सु (su) meaning ""good"" combined with शील (shila) meaning ""conduct, disposition"". This is a transcription of both the feminine form सुशीला and the masculine form सुशील. This name is borne by wives of the Hindu gods Krishna and Yama.","[Hinduism, Indian, Hindi, Marathi, Nepali]"
SUSIE,f,SUSIE   f   EnglishDiminutive of SUSAN.,[English]
SUSILO,m,form of SUSHILA.,"[Indonesian, Javanese]"
SUTEKH,m,form of SETH  (2).,[Egyptian Mythology]
SUZAN  (1), (1),Variant of SUSAN.,[English]
SUZANA,f,Form of SUSAN.,"[Croatian, Serbian, Slovene, Macedonian, Portuguese (Brazilian)]"
SUZANNE,f,form of SUSANNA.,"[French, English, Dutch]"
SUZETTE,f,SUZETTE   f   FrenchFrench diminutive of SUSANNA.,[French]
SUZIE,f,SUZIE   f   EnglishDiminutive of SUSAN.,[English]
SUZUME,f,"From Japanese 雀 (suzume) meaning ""sparrow"", as well as other kanji or kanji combinations which are pronounced the same way.",[Japanese (Rare)]
SVAJONĖ,f,"Means ""dream"" in Lithuanian.",[Lithuanian]
SVANHILD,f,"SVANHILD   f   Norwegian, Norse MythologyScandinavian cognate of SWANHILD. In Norse legend she was the daughter of Sigurd and Gudrun.","[Norwegian, Norse Mythology]"
SVANHILDUR,f,form of SVANHILD.,[Icelandic]
SVANTEPOLK,m,form of SVYATOPOLK. It was borne by the prominent 13th-century Swedish nobleman Svantepolk Knutsson. He may have been named after a relative of his Pomeranian mother.,[Ancient Scandinavian]
SVAROG,m,"Derived from Slavic svar ""bright, clear"". This was the name of the Slavic god of the sky and sun. He was originally the supreme god in Slavic mythology.",[Slavic Mythology]
SVATOPLUK,m,form of SVYATOPOLK.,[Czech]
SVEIN,m,variant of SVEN.,[Norwegian]
SVEN,m,"From the Old Norse byname Sveinn which meant ""boy"". This was the name of kings of Denmark, Norway and Sweden.","[Swedish, Norwegian, Danish, German, Dutch]"
SVENJA,f,feminine form of SVEN.,[German]
SVERRIR,m,"form of SVERRE, as well as the modern Icelandic form.","[Ancient Scandinavian, Icelandic]"
SVĚTLANA,f,form of SVETLANA.,[Czech]
SVETOMIR,m,form of ŚWIĘTOMIERZ.,"[Serbian, Bulgarian]"
SVETOSLAV,m,form of SVYATOSLAV.,"[Bulgarian, Medieval Slavic]"
SVEVA,f,"SVEVA   f   ItalianMeaning unknown, possibly related to the name of the Germanic tribe of the Suebi.",[Italian]
SVJETLANA,f,form of SVETLANA.,"[Croatian, Serbian]"
SVYATOSLAV,m,"Derived from the Slavic elements svetu ""blessed, holy"" and slava ""glory"".","[Russian, Ukrainian]"
SWANHILD,f,"Derived from the Germanic elements swan ""swan"" and hild ""battle"".",[German (Rare)]
SWANHILDE,f,Variant of SWANHILD.,[German (Rare)]
SWAPNA,f,"Means ""sleep, dream"" in Sanskrit.","[Indian, Telugu, Marathi]"
SWARAN,m,form of SWARNA.,[Punjabi]
SWATHI,f,form of SWATI.,"[Indian, Telugu, Tamil, Malayalam]"
SWEENEY,m,Anglicized form of SUIBHNE.,"[Irish, Scottish]"
ŚWIĘTOPEŁK,m,form of SVYATOPOLK.,[Polish (Archaic)]
SWIÐHUN,m,form of SWITHIN.,[Anglo-Saxon]
SWITHUN,m,Variant of SWITHIN.,[History]
SYBELLA,f,Variant of SIBYLLA.,[English (Rare)]
SYBILLA,f,variant of SIBYLLA.,"[Polish, Late Roman]"
SYD,m,Short form of SYDNEY.,[English]
SYDNEY,f,"From a surname which was a variant of the surname SIDNEY. This is the name of the largest city in Australia, which was named for Thomas Townshend, 1st Viscount Sydney in 1788. Since the 1990s this name has been mainly feminine.",[English]
SYED,m,form of SAYYID.,"[Urdu, Punjabi, Bengali]"
SYLVAIN,m,form of SILVANUS.,[French]
SYLVANA,f,Variant of SILVANA.,[Various]
SYLVESTER,m,variant of SILVESTER. This is currently the usual English spelling of the name. The actor Sylvester Stallone (1946-) is a famous bearer.,"[English, Dutch, Danish, German]"
SYLVI,f,variant of SOLVEIG. It is also used as a short form of SYLVIA.,"[Norwegian, Swedish, Finnish]"
SYLVIANE,f,Variant of SYLVAINE.,[French]
SYLVIE,f,form of SILVIA.,[French]
SYLWIA,f,form of SILVIA.,[Polish]
SYMEONU,m,form of SIMEON.,[Old Church Slavic]
SYMPHONY,f,"from the English word, ultimately deriving from Greek συμφωνος (symphonos) ""concordant in sound"".",[English (Rare)]
SYNNÖVE,f,form of SUNNIVA.,[Swedish]
SYNTYCHE,f,"SYNTYCHE   f   Biblical, Biblical Greek, Ancient GreekAncient Greek name meaning ""common fate"". This is the name of a woman mentioned in Paul's epistle to the Philippians in the New Testament.","[Biblical, Biblical Greek, Ancient Greek]"
SZABINA,f,form of SABINA.,[Hungarian]
SZANDRA,f,short form of ALEXANDRA.,[Hungarian]
SZCZĘSNY,m,"Means ""lucky, successful, happy"" in Polish, a vernacular form of Felix.",[Polish]
SZILVESZTER,m,form of SILVESTER.,[Hungarian]
SZONJA,f,form of SONYA.,[Hungarian]
TAALAY,m,"Means ""lucky, happy"" in Kyrgyz.",[Kyrgyz]
TAAVETTI,m,form of DAVID.,[Finnish]
TABASSUM,m,"Means ""smiling"" in Arabic.",[Arabic]
TABBY,f,TABBY   f   EnglishDiminutive of TABITHA.,[English]
TABITA,f,form of TABITHA.,[Biblical Latin]
TACEY,f,"Derived from Latin tace meaning ""be silent"". It was in use from the 16th century, though it died out two centuries later.",[English (Archaic)]
TACITO,m,form of TACITUS.,"[Italian (Rare), Spanish (Rare), Portuguese (Rare)]"
TAD,m,Short form of THADDEUS.,[English]
TADAS,m,form of THADDEUS.,[Lithuanian]
TADEÁŠ,m,form of THADDEUS.,"[Czech, Slovak]"
TADEO,m,form of THADDEUS.,[Spanish]
TADEUSZ,m,form of THADDEUS.,[Polish]
TADHG,m,"Means ""poet"" in Irish. This was the name of an 11th-century king of Connacht.","[Irish, Scottish]"
TADIJA,m,form of THADDEUS.,[Croatian]
TAFADZWA,m,"Means ""we are pleased"" in Shona.","[Southern African, Shona]"
TAFFY,m,TAFFY   m   WelshDiminutive of DAFYDD.,[Welsh]
TAHA,m,From the Arabic letters ط (called ta) and ه (called ha). These letters begin the 20th chapter of the Qur'an (sura Ta Ha).,[Arabic]
TAHIR,m,"Means ""virtuous, pure, chaste"" in Arabic.",[Arabic]
TAHİRE,f,feminine form of TAHIR.,[Turkish]
TAHLIA,f,Variant of TALIA  (2).,[English (Australian)]
TAHMID,m,"Means ""praising"" in Arabic.",[Arabic]
TAHNEE,f,Variant of TAWNY.,[English (Rare)]
TAHVO,m,form of STEPHEN.,[Finnish]
TAICHI,m,"From Japanese 太 (ta) meaning ""thick, big"" and 一 (ichi) meaning ""one"", in addition to other combinations of kanji which are pronounced the same way.",[Japanese]
TAIKA,f,"Means ""magic, spell"" in Finnish.",[Finnish (Rare)]
TAIMI,f,"Means ""sapling, young tree"" in Finnish.",[Finnish]
TAÍS,f,Variant of THAÍS.,[Portuguese (Brazilian)]
TAISTO,m,"Means ""battle"" in Finnish.",[Finnish]
TAJANA,f,"Derived from Croatian and Serbian tajiti ""to keep secret"".","[Croatian, Serbian]"
TAJUANA,f,TAJUANA   f   African American (Rare)Combination of the prefix Ta with the name JUANA.,[African American (Rare)]
TAKAKO,f,"From Japanese 孝 (taka) meaning ""filial piety"" and 子 (ko) meaning ""child"", as well as other combinations of kanji characters.",[Japanese]
TAKASHI,m,"From Japanese 孝 (takashi) meaning ""filial piety"", 隆 (takashi) meaning ""noble, prosperous"" or 崇 (takashi) meaning ""esteem, honour, venerate"", as well as other kanji or kanji combinations which result in the same pronunciation.",[Japanese]
TAKESHI,m,"From Japanese 武 (takeshi) meaning ""military, martial"" or other kanji having the same reading.",[Japanese]
TAKHMA URUPI,m,form of TAHMURAS.,[Persian Mythology]
TAKONDWA,m,"Means ""we are glad"" in Chewa.","[Southern African, Chewa]"
TAKUMA,m,"From Japanese 拓 (taku) meaning ""expand, open, support"" and 真 (ma) meaning ""real, genuine"". Other kanji combinations are possible.",[Japanese]
TAKUYA,m,"From Japanese 拓 (taku) meaning ""expand, open, support"" combined with 也 (ya) meaning ""also"" or 哉 (ya), an exclamation. This name can be formed with other kanji combinations as well.",[Japanese]
TALAAT,m,TALAAT   m   ArabicVariant transcription of TAL'AT.,[Arabic]
TALÂT,m,form of TAL'AT.,[Turkish]
TALFRYN,m,"From a Welsh place name meaning ""high hill"", derived from Welsh tal ""high"" and bryn ""hill"".",[Welsh]
TALI,f,TALI   f   HebrewDiminutive of TAL.,[Hebrew]
TALIA  (2), (2),"From the name of a town in South Australia, perhaps meaning ""near water"" in an Australian Aboriginal language.",[English (Australian)]
TALIBA,f,Feminine form of TALIB.,[Arabic]
TALIN,f,From the name of an Armenian town (meaning unknown) which is home to a famous 7th-century cathedral.,[Armenian]
TALİP,m,form of TALIB.,[Turkish]
TALITA,f,"form of TALITHA, popular in Brazil.",[Portuguese (Brazilian)]
TALLAK,m,Variant of TOLLAK.,[Norwegian]
TALMAI,m,"Means ""furrowed"" in Hebrew. In the Old Testament this name is borne by both a giant and also the father of King David's wife Maacah.","[Biblical, Biblical Hebrew]"
TALULLA,f,"From the Gaelic name Tuilelaith, which was derived from Irish tuile ""abundance"" and flaith ""princess"".",[Irish]
TAM  (1), (1),short form of THOMAS.,[Scottish]
TAMA,m,"Means ""son, boy"" in Maori.",[Maori]
TAMANNA,m,"Means ""wish, desire"" in Hindi, ultimately from Persian تمنّا (tamanna).","[Indian, Hindi, Bengali]"
TAMARA,f,"form of TAMAR. Russian performers such as Tamara Karsavina (1885-1978), Tamara Drasin (1905-1943), Tamara Geva (1907-1997) and Tamara Toumanova (1919-1996) introduced it to the English-speaking world. It was also borne by the Polish cubist painter Tamara de Lempicka (1898-1980).","[Russian, Ukrainian, Czech, Slovak, Polish, Slovene, Croatian, Serbian, Macedonian, Hungarian, English, Dutch, Spanish, Italian]"
TAMÁS,m,form of THOMAS.,[Hungarian]
TAMAYA,f,"Means ""in the center"" in Quechua.","[Native American, Quechua]"
TAMAZI,m,form of TAHMASP.,[Georgian]
TAMELA,f,TAMELA   f   EnglishProbably a combination of TAMARA and PAMELA. It first arose in the 1950s.,[English]
TAMERLANE,m,form of Timur i Leng (see TIMUR).,[History]
TAMI,f,Variant of TAMMY.,[English]
TAMID,m,Short form of MU'TAMID.,[Arabic]
TAMIKO,f,"From Japanese 多 (ta) meaning ""many"", 美 (mi) meaning ""beautiful"" and 子 (ko) meaning ""child"". Other kanji combinations are also possible.",[Japanese]
TAMMARA,f,Variant of TAMARA.,[English (Rare)]
TAMMI,f,Variant of TAMMY.,[English]
TAMMY,f,Short form of TAMARA and other names beginning with Tam.,[English]
TAMRAT,m,"Means ""miracle"" in Amharic.","[Eastern African, Amharic]"
TAMSIN,f,form of THOMASINA. It was traditionally used in Cornwall.,[English (British)]
TAMZEN,f,Variant of TAMSIN.,[English (Rare)]
TANCREDI,m,form of TANCRED. Gioachino Rossini used this name in his opera 'Tancredi' (1813).,[Italian]
SÜMEYYE,f,form of SUMAYYA.,[Turkish]
SUMIT,m,"Means ""well measured"" in Sanskrit.","[Indian, Hindi, Marathi, Bengali, Punjabi]"
SUMMER,f,"From the name of the season, ultimately from Old English sumor. It has been in use as a given name since the 1970s.",[English]
SUNAN,m,"means ""good word"" in Thai.",[Thai]
SUNČICA,f,SUNČICA   f   CroatianDiminutive of SUNČANA.,[Croatian]
SUNDARA,m,"Derived from Sanskrit सुन्दर (sundara) meaning ""beautiful"". This is the name of several minor characters in Hindu texts, and is also another name of the Hindu god Krishna.",[Hinduism]
SUNDER,m,"SUNDER   m   Indian, Hindi, TamilVariant transcription of SUNDAR.","[Indian, Hindi, Tamil]"
SUNG-HO,m,SUNG-HO   m   KoreanVariant transcription of SEONG-HO.,[Korean]
SUNG-HYUN,m,SUNG-HYUN   m & f   KoreanVariant transcription of SEONG-HYEON.,[Korean]
SUNG-MIN,m,SUNG-MIN   m & f   KoreanVariant transcription of SEONG-MIN.,[Korean]
SUNIL,m,"From Sanskrit सु (su) meaning ""good, very"" combined with नील (nila) meaning ""dark blue"".","[Indian, Hindi, Marathi, Bengali, Assamese, Gujarati, Punjabi, Telugu, Tamil, Kannada, Malayalam, Nepali]"
SUNITHA,f,form of SUNITA.,"[Indian, Kannada, Telugu, Tamil, Malayalam]"
SUNNGIFU,f,form of SUNNIVA.,[Anglo-Saxon]
SUNNIVA,f,"form of the Old English name Sunngifu, which meant ""sun gift"" from the Old English elements sunne ""sun"" and giefu ""gift"". This was the name of a legendary English saint who was shipwrecked in Norway and killed by the inhabitants.",[Norwegian]
SUNSHINE,f,"From the English word, ultimately from Old English sunne ""sun"" and scinan ""shine"".",[English]
SURAJ,m,"Means ""sun"" in several northern Indian languages, derived from Sanskrit सूर्य (surya).","[Indian, Hindi, Marathi, Gujarati, Bengali, Nepali]"
SURAYYA,f,SURAYYA   f   ArabicVariant transcription of THURAYYA.,[Arabic]
SURESH,m,form of SURESHA.,"[Indian, Hindi, Marathi, Tamil, Telugu, Malayalam, Kannada, Nepali]"
SÜREYYA,f,form of THURAYYA.,[Turkish]
SURINDER,m,Variant of SURENDRA used by Sikhs.,[Indian (Sikh)]
SURYA,m,"Means ""sun"" in Sanskrit. This is the name of the Hindu god of the sun.","[Hinduism, Indian, Telugu, Kannada, Tamil, Malayalam, Hindi, Marathi, Nepali, Indonesian]"
SUSANA,f,form of SUSANNA.,"[Spanish, Portuguese]"
SUSANN,f,short form of SUSANNE.,"[German, Swedish, Norwegian, Danish]"
SUSANNAH,f,Form of SUSANNA found in some versions of the Old Testament.,[Biblical]
SUSE,f,SUSE   f   GermanGerman diminutive of SUSANNE.,[German]
SUSHIL,m,masculine form of SUSHILA.,"[Indian, Hindi, Marathi, Nepali]"
SUSI,f,SUSI   f   GermanGerman diminutive of SUSANNE.,[German]
SUSILA,m,form of SUSHILA.,[Indonesian]
SUSUMU,m,"From Japanese 進 (susumu) meaning ""advance, make progress"", as well as other kanji or kanji combinations having the same pronunciation.",[Japanese]
SUVI,f,"Means ""summer"" in Finnish.",[Finnish]
SUZAN  (2), (2),"From Persian سوزان (suzan) meaning ""burning"".",[Turkish]
SUZANNA,f,Variant of SUSANNA.,[English]
SUZE,f,SUZE   f   DutchDutch diminutive of SUZANNE.,[Dutch]
SUZI,f,SUZI   f   EnglishDiminutive of SUSAN.,[English]
SUZU,f,"From Japanese 鈴 (suzu) meaning ""bell"" or other kanji having the same pronunciation.",[Japanese]
SUZY,f,SUZY   f   EnglishDiminutive of SUSAN.,[English]
SVANA,f,Short form of SVANHILDUR.,[Icelandic]
SVANHILDR,f,form of SVANHILD.,"[Ancient Scandinavian, Norse Mythology]"
SVANTE,m,short form of SVANTEPOLK.,"[Swedish, Norwegian, Danish]"
SVANTOVIT,m,Variant of SVETOVID.,[Slavic Mythology]
SVATAVA,f,"Derived from the Slavic element svetu meaning ""blessed, holy"".",[Czech]
SVEA,f,"From a personification of the country of Sweden, in use since the 17th century. It is a derivative of Svear, the Swedish name for the ancient Germanic tribe the Swedes. The Swedish name of the country of Sweden is Sverige, a newer form of Svear rike meaning ""the realm of the Svear"".",[Swedish]
SVEINN,m,form of SVEN.,[Ancient Scandinavian]
SVEND,m,form of SVEN.,"[Danish, Norwegian]"
SVERRE,m,"From the Old Norse name Sverrir which meant ""wild, swinging, spinning"".",[Norwegian]
SVETA,f,Short form of SVETLANA.,[Russian]
SVETLANA,f,"Derived from Slavic svet meaning ""light, world"". It was popularized by the poem 'Svetlana' (1813) by the Russian poet Vasily Zhukovsky. It is sometimes used as a translation of Photine.","[Russian, Slovak, Bulgarian, Serbian, Macedonian]"
SVETOPOLK,m,form of SVYATOPOLK.,[Medieval Slavic (Hypothetical)]
SVETOVID,m,"Derived from the Slavic elements svetu ""blessed, holy"" and vidu ""sight, view"". This was the name of a four-headed Slavic god of war and light.",[Slavic Mythology]
SVITLANA,f,form of SVETLANA.,[Ukrainian]
SVYATOPOLK,m,"Means ""blessed people"" from the Slavic elements svetu ""blessed, holy"" and pulku ""people, host, army"".",[Russian (Rare)]
SWANAHILDA,f,form of SWANHILD.,[Ancient Germanic]
SWANHILDA,f,Variant of SWANHILD.,[German (Rare)]
SWAPAN,m,"Derived from Sanskrit स्वपन (svapana) meaning ""sleeping, dreaming"".",[Bengali]
SWAPNIL,m,"Derived from Sanskrit स्वप्न (svapna) meaning ""sleep, dream"".","[Indian, Marathi, Hindi]"
SWARNA,m,"Means ""good colour"" or ""golden"", a contraction of the Sanskrit prefix सु (su) meaning ""good"" and वर्ण (varna) meaning ""colour"". This is a transcription of both the masculine form स्वर्ण and the feminine form स्वर्णा.","[Indian, Telugu, Hindi]"
SWATI,f,"From the Indian name of the third brightest star in the night sky, called Arcturus in the western world.","[Indian, Hindi, Marathi]"
ŚWIĘTOMIERZ,m,"Derived from the Slavic elements svetu ""blessed, holy"" and miru ""peace, world"".",[Polish (Archaic)]
ŚWIĘTOSŁAW,m,form of SVYATOSLAV.,[Polish (Archaic)]
SWITHIN,m,"From the Old English name Swiðhun or Swiþhun, derived from swiþ ""strong"" and perhaps hun ""bear cub"". Saint Swithin was a 9th-century bishop of Winchester.",[History]
SYARHEY,m,SYARHEY   m   BelarusianVariant transcription of SIARHEI.,[Belarusian]
SYBIL,f,Variant of SIBYL. This spelling variation has existed since the Middle Ages.,[English]
SYBILLE,f,form of SIBYL.,"[German, French]"
SYDNE,f,Variant of SYDNEY.,[English (Rare)]
SYDNIE,f,Variant of SYDNEY.,[English (Modern)]
SYEDA,f,form of SAYYIDA.,[Urdu]
SYLVAINE,f,feminine form of SILVANUS.,[French]
SYLVANUS,m,Variant of SILVANUS.,[English (Archaic)]
SYLVESTRE,m,form of SILVESTER.,[French]
SYLVIA,f,Variant of SILVIA. This has been the most common English spelling since the 19th century.,"[English, Swedish, Norwegian, Danish, Finnish, German]"
SYLVIANNE,f,Variant of SYLVAINE.,[French (Rare)]
SYLWESTER,m,form of SILVESTER.,[Polish]
SYMEON,m,form of SIMEON.,"[Biblical Greek, Biblical Latin]"
SYMON,m,form of SIMON (mostly ecclesiastical usage).,[Ukrainian (Rare)]
SYNNE,f,Short form of SYNNØVE.,[Norwegian]
SYNNØVE,f,variant of SUNNIVA.,[Norwegian]
SYUZANNA,f,variant of SUSANNA.,[Russian]
SZABOLCS,m,"from a Slavic word meaning ""marten"". It was borne by a leader of the Magyars at the time of Árpád. This is now the name of a region in Hungary.",[Hungarian]
SZCZEPAN,m,form of STEPHEN.,[Polish]
SZILÁRD,m,"Means ""solid, firm"" in Hungarian, also used as a Hungarian vernacular form of Constantine.",[Hungarian]
SZILVIA,f,form of SILVIA.,[Hungarian]
SZYMON,m,form of SIMON.,[Polish]
TAAVET,m,form of DAVID.,[Estonian]
TAAVI,m,form of DAVID.,"[Estonian, Finnish]"
TABATHA,f,Variant of TABITHA.,[English]
TABEA,f,short form of TABITHA. This form was used in earlier editions of the Luther Bible.,[German]
TABITHA,f,"Means ""gazelle"" in Aramaic. Tabitha in the New Testament was a woman restored to life by Saint Peter. Her name is translated into Greek as Dorcas (see Acts 9:36). As an English name, Tabitha became common after the Protestant Reformation. It was popularized in the 1960s by the television show 'Bewitched', in which Tabitha (sometimes spelled Tabatha) is the daughter of the main character.","[English, Biblical, Biblical Greek]"
TACITA,f,Feminine form of TACITUS.,[Ancient Roman]
TACITUS,m,"TACITUS   m   Ancient RomanRoman cognomen which meant ""silent, mute"" in Latin. This was the name of a 1st-century Roman historian.",[Ancient Roman]
TADALA,m,"Means ""we have been blessed"" in Chewa.","[Southern African, Chewa]"
TADDEO,m,form of THADDEUS.,[Italian]
TADEJ,m,form of THADDEUS.,[Slovene]
TADEU,m,form of THADDEUS.,[Portuguese]
TADG,m,form of TADHG.,"[Irish, Scottish]"
TADHGÁN,m,TADHGÁN   m   IrishDiminutive of TADHG.,[Irish]
TAEGAN,f,Variant of TEAGAN.,[English (Rare)]
TAFARI,m,"means ""he who inspires awe"" in Amharic. This name was borne by Lij Tafari Makonnen (1892-1975), also known as Haile Selassie, the last emperor of Ethiopia. Rastafarians (Ras Tafari meaning ""king Tafari"") revere him as the earthly incarnation of God.","[Eastern African, Amharic]"
TAGUHI,f,"Means ""queen"" in Armenian.",[Armenian]
TAHİR,m,form of TAHIR.,[Turkish]
TAHIRA,f,Feminine form of TAHIR.,[Arabic]
TÁHIRIH,f,"Variant of TAHIRA. This was the title of Fatimah Baraghani, a 19th-century Persian poet, theologian and reformer.",[History]
TAHMASP,m,"form of the Avestan name Takhmaspa, which was derived from takhma ""strong, brave, valiant"" and aspa ""horse"". This name was borne by two Safavid shahs of Persia.",[Ancient Persian]
TAHMURAS,m,"form of Avestan Takhma Urupi meaning ""strong body"". Takhma Urupi is a hero from the Avesta who later appears in the 11th-century Persian epic the 'Shahnameh'.",[Persian Mythology]
TÄHTI,f,"Means ""star"" in Finnish.",[Finnish (Rare)]
TAI,m,"From Chinese 太 (tài) meaning ""very, extreme"" or other characters pronounced in a similar way.",[Chinese]
TAIDE,f,form of THAÏS.,[Italian (Rare)]
TAIKI,m,"From Japanese 大 (tai) meaning ""big, great"" and 輝 (ki) meaning ""brightness"" or 樹 (ki) meaning ""tree"". Other kanji combinations are possible.",[Japanese]
TAINA,f,short form of TATIANA.,[Finnish]
TAISIYA,f,form of THAÏS.,[Russian]
TAJ,m,"Means ""crown"" in Arabic.",[Arabic]
TAJEDDIGT,f,"Means ""flower"" in Tamazight.","[Northern African, Berber]"
TAKAHIRO,m,"From Japanese 貴 (taka) meaning ""valuable"" or 孝 (taka) meaning ""filial piety"" combined with 大 (hiro) meaning ""big, great"" or 浩 (hiro) meaning ""prosperous"". Other kanji combinations are possible.",[Japanese]
TAKARA,m,"From Japanese 宝 (takara) meaning ""treasure, jewel"", as well as other kanji or kanji combinations with the same pronunciation.",[Japanese]
TAKEHIKO,m,"From Japanese 武 (take) meaning ""military, martial"" or 竹 (take) meaning ""bamboo"" combined with 彦 (hiko) meaning ""boy, prince"". Other kanji combinations are also possible.",[Japanese]
TAKHMASPA,m,form of TAHMASP.,[Ancient Persian]
TAKIS,m,Short form of PANAGIOTAKIS.,[Greek]
TAKOUHI,f,TAKOUHI   f   ArmenianVariant transcription of TAGUHI.,[Armenian]
TAKUMI,m,"From Japanese 匠 (takumi) meaning ""artisan"" or 巧 (takumi) meaning ""skillful"". It can also come from 拓 (taku) meaning ""expand, open, support"" combined with 海 (mi) meaning ""sea, ocean"" or 実 (mi) meaning ""fruit, good result, truth"". This name can also be formed of other kanji combinations.",[Japanese]
TAL,m,"Derived from Hebrew טַל (tal) meaning ""dew"".",[Hebrew]
TAL'AT,m,"means ""face, sight"" in Arabic.",[Arabic]
TALBOT,m,"From a surname which was perhaps derived from a Germanic given name composed of the elements tal ""to destroy"" and bod ""message"".",[English (Rare)]
TALGAT,m,form of TAL'AT.,"[Kazakh, Tatar]"
TALIA  (1), (1),TALIA  (1)   f   HebrewVariant transcription of TALYA.,[Hebrew]
TALIB,m,"Means ""seeker of knowledge, student"" in Arabic. Abu Talib was an uncle of Muhammad who raised him after his parents and grandparents died. His name was in fact a kunya (a nickname) formed using Abu; his real name may have been Imran.",[Arabic]
TALIESIN,m,"Means ""shining brow"", derived from Welsh tal ""brow"" and iesin ""shining"". This was the name of a 6th-century Welsh poet and bard. In later Welsh legends he is portrayed as a wizard and prophet, or as a companion of King Arthur.","[Welsh, Arthurian Romance]"
TALINE,f,TALINE   f   ArmenianVariant transcription of TALIN.,[Armenian]
TALISHA,f,TALISHA   f   African American (Rare)Combination of the popular name prefix Ta and LISHA.,[African American (Rare)]
TALITHA,f,"Means ""little girl"" in Aramaic. The name is taken from the phrase talitha cumi meaning ""little girl arise"" spoken by Jesus in order to restore a young girl to life (see Mark 5:41).",[Biblical]
TALLULAH,f,"TALLULAH   f   English (Rare)Popularly claimed to mean ""leaping waters"" in the Choctaw language, it may actually mean ""town"" in the Creek language. This is the name of waterfalls in Georgia. It was borne by American actress Tallulah Bankhead (1902-1968), who was named after her grandmother, who may have been named after the waterfalls.",[English (Rare)]
TALON,m,"From the English meaning ""talon, claw"", ultimately derived (via Norman French) from Latin talus ""anklebone"".",[English (Modern)]
TALYA,f,"Means ""dew from God"" in Hebrew.",[Hebrew]
TAM  (2), (2),"Means ""honest, innocent"" in Hebrew.",[Hebrew]
TAMANDANI,m,"Means ""we have exalted"" in Chewa.","[Southern African, Chewa]"
TAMAR,f,"Means ""palm tree"" in Hebrew. According to the Old Testament Tamar was the daughter-in-law of Judah and later his wife. This was also the name of a daughter of King David. She was raped by her half-brother Amnon, leading to his murder by her brother Absalom. The name was borne by a 12th-century ruling queen of Georgia who presided over the kingdom at the peak of its power.","[Hebrew, Georgian, Biblical, Biblical Hebrew]"
TAMARI,f,variant of TAMAR.,[Georgian]
TAMATI,m,form of THOMAS.,[Maori]
TAMAZ,m,form of TAHMASP.,[Georgian]
TAMEKA,f,Variant of TAMIKA.,[English]
TAMERA,f,Variant of TAMARA.,[English]
TÀMHAS,m,form of THOMAS.,[Scottish]
TAMIA,f,"form of the popular name syllable Tam, from names such as TAMARA or TAMIKA. It was popularized by Canadian singer Tamia Hill (1975-), who is known simply as Tamia.",[English (Modern)]
TAMIKA,f,"Variant of TAMIKO, inspired by the American jazz singer Tamiko Jones (1945-) or the American movie 'A Girl Named Tamiko' (1963).",[English]
TAMIR,m,"Means ""tall"" in Hebrew.",[Hebrew]
TAMMARO,m,"form of the Germanic name Thancmar, which was composed of the elements thank ""thought"" and meri ""famous"".",[Italian]
TAMMIE,f,Variant of TAMMY.,[English]
TAMRA,f,form of TAMARA.,[English]
TAMSEN,f,Variant of TAMSIN.,[English (Rare)]
TAMSYN,f,Variant of TAMSIN.,[English (British)]
TANCRED,m,"form of a Germanic name meaning ""thought and counsel"", derived from the elements thank ""thought"" and rad ""counsel"". This was the name of a leader of the First Crusade, described by Torquato Tasso in his epic poem 'Jerusalem Delivered' (1580).",[Old Norman]
TANCREDO,m,form of TANCRED.,[Spanish]
TANE,m,"Means ""man"" in Maori. In Maori and other Polynesian mythology Tane was the god of forests and light. He was the son of the sky god Rangi and the earth goddess Papa, who were locked in an embrace and finally separated by their son. He created the tui bird and, by some accounts, man.","[Maori, Polynesian Mythology]"
TANELI,m,form of DANIEL.,[Finnish]
TANESHA,f,Variant of TANISHA.,[African American]
TÂNIA,f,Short form of TATIANA.,[Portuguese]
TANIEL,m,TANIEL   m   ArmenianWestern Armenian transcription of DANIEL.,[Armenian]
TANIQUA,f,from names such as TANYA) and the common name suffix qua.,[African American (Rare)]
